#TSV
#============Begin of sheet============
@Sheet=History
生态ID	生态说明
4	1	60030	大野猪王	无	火、水、雷、冰	无	3次	1	0	0	0	0	60030_Dayezhuwang	em003	60030_Dayezhuwang	4						
5	1	60080	桃毛兽王	火、毒、眠、麻痹	火	头、爪	3次	1	1	1	0	1	60080_Taomaoshouwang	em008	60080_Taomaoshouwang	5						
6	1	60081	金毛兽王	火、毒	水	头、爪	3次	1	1	1	0	1	60081_Jinmaoshouwang	em008_u01	60081_Jinmaoshouwang	6						
7	1	60170	雪狮子王	冰	火	头、尾	3次	1	1	1	0	1	60170_Xueshiziwang	em017	60170_Xueshiziwang	7						
8	1	60171	炎狮子	火	水	头、尾	3次	1	1	1	0	1	60171_Yanshizi	em017_u01	60171_Yanshizi	8						
9	1	60480	剑极狼	无	火、雷	头、背、爪、尾	3次	1	1	1	0	0	60480_Jianjilang	em048	60480_Jianjilang	9						
10	1	60481	剑刹狼	毒、麻痹	水	头、背、爪、尾	3次	1	1	1	0	0	60481_Jianchalang	em048_u01	60480_Jianjilang	10						
11	1	60420	金狮子	雷	冰	头、尾	3次	1	1	1	0	0	60420_Jinshizi	em042	60420_Jinshizi	11						
12	2	60020	蓝速龙王	无	火、水、雷、冰	无	3次	1	0	1	0	0	60020_Lansulongwang	em002	60020_Lansulongwang	12						
13	2	60022	红速龙王	毒	火、水、雷、冰	头	3次	1	0	1	0	0	60022_Hongsulongwang	em002_u02	60022_Hongsulongwang	13						
14	2	60024	白速龙王	冰	火、水、雷、冰	头	3次	1	0	1	0	0	60024_Baisulongwang	em002_u01	60022_Hongsulongwang	14						
15	2	60060	黄速龙王	麻痹	火、水、雷、冰	头	3次	1	0	1	0	0	60060_Huangsulongwang	em006	60022_Hongsulongwang	15						
16	2	60040	大怪鸟	火	水、雷、冰	头	3次	1	1	1	1	0	60040_Daguainiao	em004	60040_Daguainiao	16						
17	2	60041	青怪鸟	火	水、雷、冰	头	3次	1	1	1	1	0	60041_Qingguainiao	em004_u01	60040_Daguainiao	17						
18	2	60070	毒怪鸟	毒	火	头	3次	0	1	0	0	0	60070_Duguainiao	em007	60070_Duguainiao	18						
19	2	60071	紫毒鸟	毒	火	头	3次	0	1	0	0	0	60071_Ziduniao	em007_u01	60070_Duguainiao	19						
20	2	60090	沙雷鸟	火	水、冰	头	3次	1	1	1	0	0	60090_Shaleiniao	em009	60090_Shaleiniao	20						
21	2	60091	冰雷鸟	冰	火、雷	头	3次	1	1	1	0	0	60091_Bingleiniao	em009_u01	60090_Shaleiniao	21						
22	2	60140	眠鸟	眠	火	头、背	3次	1	1	1	0	0	60140_Mianniao	em014	60140_Mianniao	22						
23	2	60141	银眠鸟	眠	火	头、背	3次	1	1	1	0	0	60141_Yinmianniao	em014_u01	60140_Mianniao	23						
24	2	60143	金眠鸟	眠	火	头、背	3次	1	1	1	0	0	60143_Jinmianniao	em014_u02	60140_Mianniao	24						
25	2	60190	黑狼鸟	火、毒	水	头、背、翅膀、尾	3次	1	1	1	0	0	60191_Duerheilangniao	em019	60190_Heilangniao	25						
26	2	60191	独耳黑狼鸟	火、毒	水	头、背、翅膀、尾	3次	1	1	1	0	0	60190_Heilangniao	em019_x01	60190_Heilangniao	26						
27	3	60050	鬼狩蛛	无	火	腹、爪	3次	1	0	0	0	0	60050_Guishouzhu	em005	60050_Guishouzhu	27						
28	3	60051	骇狩蛛	毒、麻痹	冰	腹、爪	3次	1	0	0	0	0	60051_Haishouzhu	em005_u01	60050_Guishouzhu	28						
29	3	60100	大名盾蟹	水、毒	火、雷	爪、壳	3次	1	0	0	1	0	60100_Damingdunxie	em010	60100_Damingdunxie	29						
30	3	60102	葵盾蟹	无	冰	爪、壳	3次	1	0	0	1	0	60102_Kuidunxie	em010_u02	60102_Kuidunxie	30						
31	3	60150	将军镰蟹	水	雷	爪、壳	3次	1	0	0	0	0	60150_Jiangjunlianxie	em015	60150_Jiangjunlianxie	31						
32	3	60152	剑豪镰蟹	水	雷	爪、壳	3次	1	0	0	0	0	60151_Jianhaolianxie	em015_x01	60150_Jiangjunlianxie	32						
33	3	60220	砦蟹	火	火、龙	壳	5次	0	0	0	0	0	60220_Zhaixie	em022	60220_Zhaixie	33						
34	3	60221	铠岩砦蟹	火	火	壳	5次	0	0	0	0	0	60221_Kaiyanzhaixie	em022_u02	60221_Kaiyanzhaixie	34						
35	3	60222	红莲砦蟹	火	水、冰	壳	5次	0	0	0	0	0	60222_Honglianzhanxie	em022_u01	60221_Kaiyanzhaixie	35						
36	3	60260	尾晶蝎	无	无	头、爪、尾	3次	0	0	0	0	0	60260_Weijingxie	em026	60260_Weijingxie	36						
37	3	60261	灰晶蝎	无	无	头、爪、尾	3次	0	0	0	0	0	60261_Huijingxie	em026_u01	60261_Huijingxie	37						
38	4	60490	电甲虫	雷、麻痹	冰	角	3次	1	0	0	0	0	60490_Dianjiachong	em049	60490_Dianjiachong	38						
39	5	60110	沙龙王	无	冰	头、躯体	3次	1	0	0	1	0	60110_Shalongwang	em011	60110_Shalongwang	39						
40	5	60160	水龙	水	冰	无	不可剥取						60160_Shuilong	em016	60160_Shuilong	40						
41	5	60290	熔岩龙	火	水	头、躯体	4次	1	1	0	0	0	60290_Rongyanlong	em029	60290_Rongyanlong	41						
42	6	60120	电龙	雷	火	躯体、尾	3次	1	1	0	0	0	60120_Dianlong	em012	60120_Dianlong	42						
43	6	60121	红电龙	雷	水	躯体、尾	3次	1	1	0	0	0	60121_Hongdianlong	em012_u01	60120_Dianlong	43						
44	6	60300	角龙	无	冰	头、尾	3次	1	1	1	1	0	60300_Jiaolong	em030	60300_Jiaolong	44						
45	6	60200	一角龙	无	雷、冰	头、尾	3次	1	1	1	1	0	60200_Yijiaolong	em020	60200_Yijiaolong	45						
46	6	60201	白一角龙	无	雷、冰	头、尾	3次	1	1	1	1	0	60201_Baiyijiaolong	em020_u01	60200_Yijiaolong	46						
47	6	60202	断刃一角龙	无	雷、冰	尾	3次	1	1	1	1	0	60202_Duanrenyijiaolong	em020_x01	60202_Duanrenyijiaolong	47						
48	6	60210	雌火龙	火、毒	雷、龙	头、翅膀、尾	3次	1	1	1	0	1	60210_Cihuolong	em021	60210_Cihuolong	48	60210_Cihuolong	1	135	13000	1800	560
49	6	60211	樱火龙	火、毒	水	头、翅膀、尾	3次	1	1	1	0	1	60211_Yinghuolong	em021_u01	60210_Cihuolong	49	60211_Yinghuolong	1	146	13000	1800	560
50	6	60218	烈焰女王	火、毒	雷、龙	头、翅膀、尾	3次	1	1	1	0	1	60218_Lieyannvwang	em021_x01	60210_Cihuolong	50	60218_Lieyannvwang	1	138	13000	1800	560
51	6	60230	岩龙	火、眠	水、龙	躯体、腹、尾	3次	1	1	1	0	0	60230_Yanlong	em023	60230_Yanlong	51						
52	6	60231	砂岩龙	火、毒、眠	冰	腹、尾	3次	1	1	1	0	0	60231_Shayanlong	em023_u01	60230_Yanlong	52						
53	6	60232	晶岩龙	火、眠	火、水	躯体、腹、尾	3次	1	1	1	0	0	60232_Jingyanlong	em023_x01	60230_Yanlong	53						
54	6	60250	雄火龙	火、毒	雷、龙	头、翅膀、尾	3次	1	1	1	0	1	60250_Xionghuolong	em025	60210_Cihuolong	54	60250_Xionghuolong	1	144	13000	1800	560
55	6	60251	苍火龙	火、毒	冰、龙	头、翅膀、尾	3次	1	1	1	0	1	60251_Canghuolong	em025_u01	60210_Cihuolong	55	60251_Canghuolong	1	147	13000	1800	560
56	6	60280	轰龙	无	雷	头、爪、尾	3次	1	1	1	0	1	60280_Honglong	em028	60280_Honglong	56						
57	6	60390	铠龙	火、眠	水、龙	腿、腹、尾	4次	1	1	1	0	0	60390_Kailong	em039	60390_Kailong	57						
58	7	60180	吞渊龙	无	水、龙	头、背、爪、尾	5次	0	0	0	0	0	60182_Tunyuanlong	em018	60180_Tunyuanlong	58						
59	7	60181	燎渊龙	火	水、冰、龙	头、背、爪、尾	5次	0	0	0	0	0	60181_Liaoyuanlong	em018_u01	60180_Tunyuanlong	59						
60	7	60240	荒厄龙	火、龙	无	头、躯体、翅膀、尾	4次	0	0	0	0	0	60240_Huangelong	em024	60240_Huangelong	60						
61	7	60242	御五相荒厄龙	火、水、雷、冰、龙	无	头、躯体、翅膀、尾	4次	0	0	0	0	0	60241_Wuxianghuangelong	em024	60240_Huangelong	61						
62	7	60310	钢龙	冰	雷、龙	头、翅膀、尾	4次	0	0	1	0	0	60310_Ganglong	em031	60310_Ganglong	62						
63	7	60311	锈钢龙	无	水、龙	头、翅膀、尾	4次	0	0	1	0	0	60311_Xiuganglong	em031_u01	60310_Ganglong	63						
64	7	60330	霞龙	毒、龙	火、龙	头、尾	4次	0	0	1	0	0	60330_Xialong	em033	60330_Xialong	64						
65	7	60370	浮岳龙	火	冰、龙	凸起	5次	0	0	0	0	0	60370_Fuyuelong	em037	60370_Fuyuelong	65						
66	8	60130	星龙	火	水	头、爪、躯体、尾	3次	0	0	1	0	0	60130_Xinglong	em013	60130_Xinglong	66	60130_Xinglong	1	122	13000	1800	560
67	8	60131	祸星龙	龙	火	头、爪、躯体、尾	3次	0	0	1	0	0	60131_Huoxinglong	em013_u01	60130_Xinglong	67						
68	3	60151	武镰蟹	毒	雷	爪、壳	3次	1	0	0	0	0	60151_Wulianxie	em015_u01	60150_Jiangjunlianxie	68						
69	9	60870	雷狼龙	雷	水、冰	头、背、爪、尾	3次	1	1	1	0	0	60870_Leilanglong	em087	60870_Leilanglong	69						
70	6	60900	冰牙龙	冰	火、雷	头、棘、尾	3次	1	1	1	0	0	60900_Bingyalong	em090	60900_Bingyalong	70						
71	8	60134	灭星龙	龙	水	头、爪、躯体、尾	3次	0	0	1	0	0	60134_Miexinglong	em013_u02	60130_Xinglong	71	60134_Miexinglong	1	169	13000	1800	560
72	7	60350	麒麟	雷	无	角	3次	0	0	0	0	0	60350_Kirin	em035	60350_Kirin	72						
73	10	60880	恐暴龙	龙	雷、龙	头、尾	4次	1	1	1	0	1	60880_Kongbaolong	em088	60880_Kongbaolong	73						
74	7	60410	老山龙	无	龙	头、肩、背	5次	0	0	0	0	0	60410_Laoshanlong	em041	60410_Laoshanlong	74						
75	4	60491	绯甲虫	龙	火、冰	角	3次	1	0	0	0	0	60491_Hongdianjiachong	em049_u01	60490_Dianjiachong	75						
76	6	60270	吞龙	无	雷	头、躯体、尾	4次	1	0	0	0	0	60270_tunlong	em027	60270_tunlong	76						
77	6	60920	迅龙	无	火、雷	头、翅膀、尾	3次	1	1	1	1	0	60920_xunlong	em092	60920_xunlong	77						
78	6	60281	炎轰龙	火	水、雷、冰	头、爪、尾	3次	1	1	1	0	1	60281_yanhonglong	em028_u01	60281_yanhonglong	78						
79	10	60910	爆锤龙	无	水、龙	头、尾	3次	1	1	1	0	0	60910_baochuilong	em091	60910_baochuilong	79						
80	10	60630	狞龙	火	冰	头、尾	3次	1	1	1	1	1	60630_ninglong	em063	60630_ninglong	80						
81	6	60440	舞雷龙	雷	冰	头、躯体、翅膀、尾	3次	1	1	0	0	0	60440_wuleilong	em044	60440_wuleilong	81						
82	6	60212	金火龙	火、毒	雷、水	头、翅膀、尾	3次	1	1	1	0	0	60212_jinhuolong	em021_u02	60212_jinhuolong	82	60212_jinhuolong	1	176	13000	1800	560
83	6	60391	黑铠龙	火	水	脚、腹、尾	4次	1	1	1	0	0	60391_heikailong	em039_u01	60391_heikailong	83						
84	6	60252	银火龙	火、毒	雷、水	头、翅膀、尾	3次	1	1	1	0	0	60252_yinhuolong	em025_u02	60252_yinhuolong	84	60252_yinhuolong	1	183	13000	1800	560
85	6	60301	黑角龙	无	冰	头、尾	3次	1	1	1	1	0	60301_HeiJiaolong	em030_u01	60301_HeiJiaolong	85						
86	6	60450	霸龙	火、龙	龙、雷	头、爪、腹、躯体、尾	4次	0	0	1	0	0	60450_Balong	em045	60450_Balong	86						
87	6	60620	蛮龙	水	雷、龙	头、背、腹、翅膀、尾	3次	1	1	1	0	0	60620_Manlong	em062	60620_Manlong	87						
88	10	60890	碎龙	无	水、冰	角、爪、尾	3次	1	1	1	0	0	60890_Suilong	em089	60890_Suilong	88						
89	10	60470	劫龙	无	火	头、爪、尾	3次	1	1	1	0	0	60470_Jielong	em050	60470_Jielong	89						
90	7	60400	炎王龙	龙、火	水、龙	头、翅膀、尾	4次	0	0	1	0	0	60400_Yanwanglong	em040	60400_Yanwanglong	90						
91	6	60580	冰狐龙	冰、眠	火、龙	头、背、爪、尾	3次	1	1	1	0	0	60580_Binghulong	em058	60580_Binghulong	91						
92	6	60441	冥雷龙	龙	火、水	头、躯体、翅膀、尾	3次	1	0	1	0	0	60441_Mingleilong	em044_u01	60441_Mingleilong	92						
93	7	60380	炎妃龙	龙	冰、龙	头、翅膀、尾	4次	0	0	1	0	0	60380_Yanfeilong	em038	60380_Yanfeilong	93						
94	1	60421	激昂金狮子	雷	冰	头	3次	1	1	1	0	0	60421_Jiangjinshizi	em042_u01	60421_Jiangjinshizi	94						
95	1	60340	雄响狼	冰	水	头、背、尾	3次	1	0	1	0	0	60340_Xianglang	em034	60340_Xianglang	95						
96	1	60341	雌响狼	冰	水	头、背、尾	3次	1	0	1	0	0	60341_Cixianglang	em034_u01	60341_Cixianglang	96						
97	10	60631	冰狞龙	冰	火	头、尾	3次	1	1	1	1	1	60631_Bingninglong	em063_u01	60631_Bingninglong	97						
99	9	60871	狱狼龙	龙	雷	头、背、爪、尾	3次	1	1	1	0	0	60871_Yulanglong	em087_u01	60871_Yulanglong	99						
100	6	60360	棘龙	火、毒、麻痹	冰	头、背、腹、翅膀、尾	3次	1	1	1	0	0	60360_Jilong	em036	60360_Jilong	100						
101	2	60710	倾雷鸟	雷	冰、水	头、尾	3次	1	1	1	0	0	60710_Qingleiniao	em071	60710_Qingleiniao	101						
102	6	60361	棘茶龙	火	水	头、背、腹、翅膀、尾	3次	1	1	1	0	0	60361_Chajilong	em036_u01	60361_Chajilong	102						
103	6	60800	黑穿龙	冰、龙	雷、火	头、背、腹、翅膀、尾	3次	0	0	0	0	0	60800_Heichuanlong	em080	60800_Heichuanlong	103						
104	3	60670	多壳蟹	雷	火、冰、水	躯体、爪、尾、腿	3次	1	0	0	0	0	60670_Duokexie	em067	60670_Duokexie	104						
105	7	60930	岚龙	水、龙	火、龙、雷、冰	头、爪、背、尾	4次	0	0	1	0	0	60930_Lanlong	em093	60930_Lanlong	105						
#============End of sheet============

#============Begin of sheet============
@Sheet=PhysicalCardGroup
ID	期号	期名字	卡组剪影	兑换奖励道具组	兑换实体卡消耗道具组	兑换实体卡消耗点券	兑换实体卡获得道具组	是否开启
1	1	第一期	cardGroupOne	1;2;3	4;5;6	8800	7;8;9	1
#============End of sheet============

#============Begin of sheet============
@Sheet=PhysicalCardType
卡类型	名字	兑换素材稀有度下限	兑换素材稀有度上限	边框
1	普通卡	2	4	frameNormal
2	银卡	7	10	frameSilver
3	金卡	13	13	frameGold
#============End of sheet============

#============Begin of sheet============
@Sheet=成就
ID	描述	怪物索引	统计项ID	目标值	条件类型1	条件参数1	奖励点数
1	在狩猎场中使用大剑成功狩猎一次	16	4357	1			2
2	在狩猎场中使用大锤成功狩猎一次	16	4358	1			2
3	在狩猎场中使用长枪成功狩猎一次	16	4359	1			2
4	在狩猎场中使用片手成功狩猎一次	16	4360	1			2
5	在狩猎场中使用弩成功狩猎一次	16	4361	1			2
6	在狩猎场中使用双刀成功狩猎一次	16	4362	1			2
7	在狩猎场中使用太刀成功狩猎一次	16	4363	1			2
8	在狩猎场中使用狩猎笛成功狩猎一次	16	4364	1			2
9	在狩猎场中使用铳枪成功狩猎一次	16	4365	1			2
10	在狩猎场中使用弓成功狩猎一次	16	4366	1			2
11	在狩猎场中使用斩击斧成功狩猎一次	16	4367	1			2
12	在狩猎场中成功破坏任意部位1次	16	4368	1			2
13	在狩猎场中成功破坏任意部位5次	16	4368	5			6
14	在狩猎场中成功破坏任意部位10次	16	4368	10			18
15	在狩猎场中累计遭遇大金冠1次	16	4369	1			8
16	在狩猎场中累计遭遇大银冠1次	16	4370	1			8
17	在狩猎场中累计遭遇小银冠1次	16	4371	1			8
18	在狩猎场中累计遭遇小金冠1次	16	4372	1			8
19	在狩猎场中累计讨伐5只指定怪物	16	4373	5			10
20	在狩猎场中累计捕获5只指定怪物	16	4374	5			10
21	在狩猎场中使用大剑成功狩猎一次	4	4375	1			2
22	在狩猎场中使用大锤成功狩猎一次	4	4376	1			2
23	在狩猎场中使用长枪成功狩猎一次	4	4377	1			2
24	在狩猎场中使用片手成功狩猎一次	4	4378	1			2
25	在狩猎场中使用弩成功狩猎一次	4	4379	1			2
26	在狩猎场中使用双刀成功狩猎一次	4	4380	1			2
27	在狩猎场中使用太刀成功狩猎一次	4	4381	1			2
28	在狩猎场中使用狩猎笛成功狩猎一次	4	4382	1			2
29	在狩猎场中使用铳枪成功狩猎一次	4	4383	1			2
30	在狩猎场中使用弓成功狩猎一次	4	4384	1			2
31	在狩猎场中使用斩击斧成功狩猎一次	4	4385	1			2
32	在狩猎场中成功将怪物攻击倒地1次	4	4386	1			2
33	在狩猎场中成功将怪物攻击倒地5次	4	4386	5			6
34	在狩猎场中成功将怪物攻击倒地10次	4	4386	10			18
35	在狩猎场中累计遭遇大金冠1次	4	4387	1			8
36	在狩猎场中累计遭遇大银冠1次	4	4388	1			8
37	在狩猎场中累计遭遇小银冠1次	4	4389	1			8
38	在狩猎场中累计遭遇小金冠1次	4	4390	1			8
39	在狩猎场中累计讨伐5只指定怪物	4	4391	5			10
40	在狩猎场中累计捕获5只指定怪物	4	4392	5			10
41	在狩猎场中使用大剑成功狩猎一次	1	4393	1			2
42	在狩猎场中使用大锤成功狩猎一次	1	4394	1			2
43	在狩猎场中使用长枪成功狩猎一次	1	4395	1			2
44	在狩猎场中使用片手成功狩猎一次	1	4396	1			2
45	在狩猎场中使用弩成功狩猎一次	1	4397	1			2
46	在狩猎场中使用双刀成功狩猎一次	1	4398	1			2
47	在狩猎场中使用太刀成功狩猎一次	1	4399	1			2
48	在狩猎场中使用狩猎笛成功狩猎一次	1	4400	1			2
49	在狩猎场中使用铳枪成功狩猎一次	1	4401	1			2
50	在狩猎场中使用弓成功狩猎一次	1	4402	1			2
51	在狩猎场中使用斩击斧成功狩猎一次	1	4403	1			2
52	在狩猎场中成功破坏任意部位1次	1	4404	1			2
53	在狩猎场中成功破坏任意部位5次	1	4404	5			6
54	在狩猎场中成功破坏任意部位10次	1	4404	10			18
55	在狩猎场中累计遭遇大金冠1次	1	4405	1			8
56	在狩猎场中累计遭遇大银冠1次	1	4406	1			8
57	在狩猎场中累计遭遇小银冠1次	1	4407	1			8
58	在狩猎场中累计遭遇小金冠1次	1	4408	1			8
59	在狩猎场中累计讨伐5只指定怪物	1	4409	5			10
60	在狩猎场中累计捕获5只指定怪物	1	4410	5			10
61	在狩猎场中使用大剑成功狩猎一次	12	4411	1			2
62	在狩猎场中使用大锤成功狩猎一次	12	4412	1			2
63	在狩猎场中使用长枪成功狩猎一次	12	4413	1			2
64	在狩猎场中使用片手成功狩猎一次	12	4414	1			2
65	在狩猎场中使用弩成功狩猎一次	12	4415	1			2
66	在狩猎场中使用双刀成功狩猎一次	12	4416	1			2
67	在狩猎场中使用太刀成功狩猎一次	12	4417	1			2
68	在狩猎场中使用狩猎笛成功狩猎一次	12	4418	1			2
69	在狩猎场中使用铳枪成功狩猎一次	12	4419	1			2
70	在狩猎场中使用弓成功狩猎一次	12	4420	1			2
71	在狩猎场中使用斩击斧成功狩猎一次	12	4421	1			2
72	在狩猎场中成功将怪物攻击倒地1次	12	4422	1			2
73	在狩猎场中成功将怪物攻击倒地5次	12	4422	5			6
74	在狩猎场中成功将怪物攻击倒地10次	12	4422	10			18
75	在狩猎场中累计遭遇大金冠1次	12	4423	1			8
76	在狩猎场中累计遭遇大银冠1次	12	4424	1			8
77	在狩猎场中累计遭遇小银冠1次	12	4425	1			8
78	在狩猎场中累计遭遇小金冠1次	12	4426	1			8
79	在狩猎场中累计讨伐5只指定怪物	12	4427	5			10
80	在狩猎场中累计捕获5只指定怪物	12	4428	5			10
81	在狩猎场中使用大剑成功狩猎一次	15	4429	1			2
82	在狩猎场中使用大锤成功狩猎一次	15	4430	1			2
83	在狩猎场中使用长枪成功狩猎一次	15	4431	1			2
84	在狩猎场中使用片手成功狩猎一次	15	4432	1			2
85	在狩猎场中使用弩成功狩猎一次	15	4433	1			2
86	在狩猎场中使用双刀成功狩猎一次	15	4434	1			2
87	在狩猎场中使用太刀成功狩猎一次	15	4435	1			2
88	在狩猎场中使用狩猎笛成功狩猎一次	15	4436	1			2
89	在狩猎场中使用铳枪成功狩猎一次	15	4437	1			2
90	在狩猎场中使用弓成功狩猎一次	15	4438	1			2
91	在狩猎场中使用斩击斧成功狩猎一次	15	4439	1			2
92	在狩猎场中成功破坏任意部位1次	15	4440	1			2
93	在狩猎场中成功破坏任意部位5次	15	4440	5			6
94	在狩猎场中成功破坏任意部位10次	15	4440	10			18
95	在狩猎场中累计遭遇大金冠1次	15	4441	1			8
96	在狩猎场中累计遭遇大银冠1次	15	4442	1			8
97	在狩猎场中累计遭遇小银冠1次	15	4443	1			8
98	在狩猎场中累计遭遇小金冠1次	15	4444	1			8
99	在狩猎场中累计讨伐5只指定怪物	15	4445	5			10
100	在狩猎场中累计捕获5只指定怪物	15	4446	5			10
101	在狩猎场中使用大剑成功狩猎一次	13	4447	1			2
102	在狩猎场中使用大锤成功狩猎一次	13	4448	1			2
103	在狩猎场中使用长枪成功狩猎一次	13	4449	1			2
104	在狩猎场中使用片手成功狩猎一次	13	4450	1			2
105	在狩猎场中使用弩成功狩猎一次	13	4451	1			2
106	在狩猎场中使用双刀成功狩猎一次	13	4452	1			2
107	在狩猎场中使用太刀成功狩猎一次	13	4453	1			2
108	在狩猎场中使用狩猎笛成功狩猎一次	13	4454	1			2
109	在狩猎场中使用铳枪成功狩猎一次	13	4455	1			2
110	在狩猎场中使用弓成功狩猎一次	13	4456	1			2
111	在狩猎场中使用斩击斧成功狩猎一次	13	4457	1			2
112	在狩猎场中成功破坏任意部位1次	13	4458	1			2
113	在狩猎场中成功破坏任意部位5次	13	4458	5			6
114	在狩猎场中成功破坏任意部位10次	13	4458	10			18
115	在狩猎场中累计遭遇大金冠1次	13	4459	1			8
116	在狩猎场中累计遭遇大银冠1次	13	4460	1			8
117	在狩猎场中累计遭遇小银冠1次	13	4461	1			8
118	在狩猎场中累计遭遇小金冠1次	13	4462	1			8
119	在狩猎场中累计讨伐5只指定怪物	13	4463	5			10
120	在狩猎场中累计捕获5只指定怪物	13	4464	5			10
121	在狩猎场中使用大剑成功狩猎一次	5	4465	1			2
122	在狩猎场中使用大锤成功狩猎一次	5	4466	1			2
123	在狩猎场中使用长枪成功狩猎一次	5	4467	1			2
124	在狩猎场中使用片手成功狩猎一次	5	4468	1			2
125	在狩猎场中使用弩成功狩猎一次	5	4469	1			2
126	在狩猎场中使用双刀成功狩猎一次	5	4470	1			2
127	在狩猎场中使用太刀成功狩猎一次	5	4471	1			2
128	在狩猎场中使用狩猎笛成功狩猎一次	5	4472	1			2
129	在狩猎场中使用铳枪成功狩猎一次	5	4473	1			2
130	在狩猎场中使用弓成功狩猎一次	5	4474	1			2
131	在狩猎场中使用斩击斧成功狩猎一次	5	4475	1			2
132	在狩猎场中成功破坏任意部位1次	5	4476	1			2
133	在狩猎场中成功破坏任意部位5次	5	4476	5			6
134	在狩猎场中成功破坏任意部位10次	5	4476	10			18
135	在狩猎场中累计遭遇大金冠1次	5	4477	1			8
136	在狩猎场中累计遭遇大银冠1次	5	4478	1			8
137	在狩猎场中累计遭遇小银冠1次	5	4479	1			8
138	在狩猎场中累计遭遇小金冠1次	5	4480	1			8
139	在狩猎场中累计讨伐5只指定怪物	5	4481	5			10
140	在狩猎场中累计捕获5只指定怪物	5	4482	5			10
141	在狩猎场中使用大剑成功狩猎一次	27	4483	1			2
142	在狩猎场中使用大锤成功狩猎一次	27	4484	1			2
143	在狩猎场中使用长枪成功狩猎一次	27	4485	1			2
144	在狩猎场中使用片手成功狩猎一次	27	4486	1			2
145	在狩猎场中使用弩成功狩猎一次	27	4487	1			2
146	在狩猎场中使用双刀成功狩猎一次	27	4488	1			2
147	在狩猎场中使用太刀成功狩猎一次	27	4489	1			2
148	在狩猎场中使用狩猎笛成功狩猎一次	27	4490	1			2
149	在狩猎场中使用铳枪成功狩猎一次	27	4491	1			2
150	在狩猎场中使用弓成功狩猎一次	27	4492	1			2
151	在狩猎场中使用斩击斧成功狩猎一次	27	4493	1			2
152	在狩猎场中成功破坏任意部位1次	27	4494	1			2
153	在狩猎场中成功破坏任意部位5次	27	4494	5			6
154	在狩猎场中成功破坏任意部位10次	27	4494	10			18
155	在狩猎场中累计遭遇大金冠1次	27	4495	1			8
156	在狩猎场中累计遭遇大银冠1次	27	4496	1			8
157	在狩猎场中累计遭遇小银冠1次	27	4497	1			8
158	在狩猎场中累计遭遇小金冠1次	27	4498	1			8
159	在狩猎场中累计讨伐5只指定怪物	27	4499	5			10
160	在狩猎场中累计捕获5只指定怪物	27	4500	5			10
161	在狩猎场中使用大剑成功狩猎一次	2	4501	1			2
162	在狩猎场中使用大锤成功狩猎一次	2	4502	1			2
163	在狩猎场中使用长枪成功狩猎一次	2	4503	1			2
164	在狩猎场中使用片手成功狩猎一次	2	4504	1			2
165	在狩猎场中使用弩成功狩猎一次	2	4505	1			2
166	在狩猎场中使用双刀成功狩猎一次	2	4506	1			2
167	在狩猎场中使用太刀成功狩猎一次	2	4507	1			2
168	在狩猎场中使用狩猎笛成功狩猎一次	2	4508	1			2
169	在狩猎场中使用铳枪成功狩猎一次	2	4509	1			2
170	在狩猎场中使用弓成功狩猎一次	2	4510	1			2
171	在狩猎场中使用斩击斧成功狩猎一次	2	4511	1			2
172	在狩猎场中成功破坏任意部位1次	2	4512	1			2
173	在狩猎场中成功破坏任意部位5次	2	4512	5			6
174	在狩猎场中成功破坏任意部位10次	2	4512	10			18
175	在狩猎场中累计遭遇大金冠1次	2	4513	1			8
176	在狩猎场中累计遭遇大银冠1次	2	4514	1			8
177	在狩猎场中累计遭遇小银冠1次	2	4515	1			8
178	在狩猎场中累计遭遇小金冠1次	2	4516	1			8
179	在狩猎场中累计讨伐5只指定怪物	2	4517	5			10
180	在狩猎场中累计捕获5只指定怪物	2	4518	5			10
181	在狩猎场中使用大剑成功狩猎一次	18	4519	1			2
182	在狩猎场中使用大锤成功狩猎一次	18	4520	1			2
183	在狩猎场中使用长枪成功狩猎一次	18	4521	1			2
184	在狩猎场中使用片手成功狩猎一次	18	4522	1			2
185	在狩猎场中使用弩成功狩猎一次	18	4523	1			2
186	在狩猎场中使用双刀成功狩猎一次	18	4524	1			2
187	在狩猎场中使用太刀成功狩猎一次	18	4525	1			2
188	在狩猎场中使用狩猎笛成功狩猎一次	18	4526	1			2
189	在狩猎场中使用铳枪成功狩猎一次	18	4527	1			2
190	在狩猎场中使用弓成功狩猎一次	18	4528	1			2
191	在狩猎场中使用斩击斧成功狩猎一次	18	4529	1			2
192	在狩猎场中成功破坏任意部位1次	18	4530	1			2
193	在狩猎场中成功破坏任意部位5次	18	4530	5			6
194	在狩猎场中成功破坏任意部位10次	18	4530	10			18
195	在狩猎场中累计遭遇大金冠1次	18	4531	1			8
196	在狩猎场中累计遭遇大银冠1次	18	4532	1			8
197	在狩猎场中累计遭遇小银冠1次	18	4533	1			8
198	在狩猎场中累计遭遇小金冠1次	18	4534	1			8
199	在狩猎场中累计讨伐5只指定怪物	18	4535	5			10
200	在狩猎场中累计捕获5只指定怪物	18	4536	5			10
201	在狩猎场中使用大剑成功狩猎一次	20	4537	1			2
202	在狩猎场中使用大锤成功狩猎一次	20	4538	1			2
